開放漢世詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［中文］	［拼音］	［世界語］
軀	qu1	(anat) homa korpo
區	qu1	regiono
軀幹	qu1 gan4	(anat) trunko
趨勢	qu1 shi4	emo; tendenco
趨向於	qu1 xiang4	emi; -ema
趨向	qu1 xiang4	emo
曲目	qu3 mu4	listo de kantoj; traklisto
取消	qu3 xiao1	nuligi
取悅	qu3 yue4	plaĉi
去	qu4	iri
去世	qu4 shi4	morti
去氧核糖核酸	qu4 yang3  he2 tang2 he2 suan1	deoksiribonuklea acido; DNA
全	quan2	tuta; tutaj
顴	quan2	(anat) vangosto
拳	quan2	(anat) pugno
全部	quan2 bu4	tute
顴骨	quan2 gu3	(anat) vangosto
權利	quan2 li4	rajto
全名	quan2 ming2	tuta nomo
全球	quan2 qiu2	tutmonda
全球化	quan2 qiu2 hua4	tutmondigo
全世界	quan2 shi4 jie4	tuta mondo; tutmondaj
拳頭	quan2 tou5	(anat) pugno
犬齒	quan3 chi3	kojnodento; kanino (dento)
勸	quan4	konsili
勸告	quan4 gao4	konsili
勸說	quan4 shuo1	konsili
缺少	que1 shao3	malhavi; manki
雀	que4	pasero (birdo)
確	que4	ja
確定	que4 ding4	certa; certigi
確實	que4 shi2	ja
裙子	qun2 zi5	jupo
然	ran2	tia
然後	ran2 hou4	poste
染料	ran3 liao4	farbo; tinkturo
讓	rang4	lasi
橈動脈	rao2 dong4 mai4	pulma arterio
橈骨	rao2 gu3	(anat) radiuso
惹生氣	re3 sheng1 qi4	kolerigi
熱	re4	varma
熱量	re4 liang4	(fiz) varmo
熱情	re4 qing2	entuziasma
人	ren2	homo; persono
人稱代詞	ren2 cheng1  dai4 ci2	persona pronomo (gramatiko)
人口	ren2 kou3	loĝantaro
人類	ren2 lei4	homaro; homo
人民	ren2 min2	popolo
人群	ren2 qun2	homamaso
人體	ren2 ti3	(anat) homa korpo
人頭馬	ren2 tou2 ma3	Centaŭro (helena mitologio)
忍冬	ren3 dong1	(pla-sci) lonicero; (latine, Lonicera)
忍耐	ren3 nai4	suferi; toleri
忍受	ren3 shou4	suferi; elporti
忍心	ren3 xin1	tolerema
認	ren4	koni
韌帶	ren4 dai4	(anat) ligamento
任何	ren4 he2	iu ajn
認識	ren4 shi5	koni
認為	ren4 wei2	pensi ke
扔球	reng1 qiu2	ĵeti pilkon
仍	reng2	ankoraŭ
仍然	reng2 ran2	ankoraŭ
日	ri4	tago
日	ri4	suno
日	ri4	dimanĉo
日本	Ri4 ben3	Japanio
日本話	ri4 ben3 hua4	la japana; la japana lingvo; "japana parolo"
日出	ri4 chu1	sunleviĝo
日光蘭	ri4 guang1 lan2	(pla-sci) asfodelo; asfodelfloro (latine, Asphodelus ramosus)
日光蘭花	ri4 guang1 lan2 hua1	(pla-sci) asfodelo; asfodelfloro (latine, Asphodelus ramosus)
日記	ri4 ji4	taglibro
日曆	ri4 li4	kalendaro
日落	ri4 luo4	sunsubiro
日內瓦公約	ri4 nei4 wa3  gong1 yue1	Konvencioj de Ĝenevo
日文	ri4 wen2	la japana; la japana lingvo
日語	ri4 yu3	la japana; la japana lingvo
榕	rong2	(pla-sci) banjano
蓉	rong2	(pla-sci) lotuso; lotusfloro (latine, Nelumbo nucifera)
容量	rong2 liang4	enhavebleco; kapacito
容忍	rong2 ren3	toleri
榕樹	rong2 shu4	(pla-sci) banjano
容易	rong2 yi4	facila
肉	rou4	viando
肉豆蔻樹	rou4 dou4 kou4 shu4	(pla-sci) muskatarbo; (latine, Myristica fragrans)
肉桂樹	rou4 gui4 shu4	(pla-sci) cinamo; cinamarbo (latine, Cinnamomum verum)
銣	ru2	(kem) rubidio; la elemento rubidio (Rb), atomnumero 37
如果	ru2 guo3	se
如果你不介意的話	ru2 guo3  ni3  bu4  jie4 yi4  de5 hua4	se vi ne zorgas
乳	ru3	(anat) mamo
乳齒	ru3 chi3	laktodento
乳房	ru3 fang2	(anat) mamo
乳酪	ru3 lao4	fromaĝo
乳頭	ru3 tou5	(anat) cico
入	ru4	en
入	ru4	eniri
入口	ru4 kou3	enirejo
軟	ruan3	mola
軟骨	ruan3 gu3	(anat) kartilago
軟體	ruan3 jian4	programaro
軟木橡樹	ruan3 mu4  xiang4 shu4	(pla-sci) korkokverko; korkokverkarbo (latine, Quercus suber)
軟弱	ruan3 ruo4	malforta
軟組織	ruan3 zu3 zhi1	(anat) mola histo
瑞典語	rui4 dian3 yu3	la sveda; la sveda lingvo
銳利	rui4 li4	akra
潤滑	run4 hua2	glata
閏年	run4 nian2	superjaro
弱	ruo4	malforta
撒謊	sa1 huang3	mensogi
卅	sa4	tridek (30)
卅八	sa4 ba1	tridek ok (38)
卅二	sa4 er4	tridek du (32)
卅九	sa4 jiu3	tridek naŭ (39)
卅六	sa4 liu4	tridek ses (36)
卅七	sa4 qi1	tridek sep (37)
卅三	sa4 san1	tridek tri (33)
卅四	sa4 si4	tridek kvar (34)
卅五	sa4 wu3	tridek kvin (35)
卅一	sa4 yi1	tridek unu (31)
塞爾維亞語	sai4 er3 wei2 ya4 yu3	la serba; la serba lingvo
賽跑	sai4 pao3	vetkuri
三	san1	merkredo
三	san1	tri (3)
三分鐘	san1  fen1 zhong1	tri minutoj
三百	san1 bai3	tricent (300)
三百萬	san1 bai3 wan4	tri miliono (3 000 000)
三倍	san1 bei4	trioble
三次	san1 ci4	trifoje
三點鐘	san1 dian3	la tria horo
三點	san1 dian3	la tria horo
三分之一	san1 fen1 zhi1 yi1	triono
三國	san1 guo2	Tri Reĝlandoj; Periodo de la Tri Reĝlandoj; 220-280 KE
三國時代	san1 guo2  shi2 dai4	Periodo de la Tri Reĝlandoj; 220-280 KE
三角肌	san1 jiao3 ji1	(anat) deltoida muskolo; deltoido
三角形	san1 jiao3 xing2	triangulo
三千	san1 qian1	tri mil (3 000)
三千萬	san1 qian1 wan4	tridek miliono (30 000 000)
三十	san1 shi2	tridek (30)
三十分鐘	san1 shi2  fen1 zhong1	tridek minutoj
三十八	san1 shi2 ba1	tridek ok (38)
三十二	san1 shi2 er4	tridek du (32)
三十九	san1 shi2 jiu3	tridek naŭ (39)
三十六	san1 shi2 liu4	tridek ses (36)
三十七	san1 shi2 qi1	tridek sep (37)
三十三	san1 shi2 san1	tridek tri (33)
三十四	san1 shi2 si4	tridek kvar (34)
三十萬	san1 shi2 wan4	tricent mil (300 000)
三十五	san1 shi2 wu3	tridek kvin (35)
三十五分鐘	san1 shi2 wu3  fen1 zhong1	tridek kvin minutoj
三十一	san1 shi2 yi1	tridek unu (31)
三十億	san1 shi2 yi4	tri miliardo (3 000 000 000)
三頭肌	san1 tou2 ji1	(anat) tricepso; trikapa muskolo
三萬	san1 wan4	tridek mil (30 000)
三峽	San1 xia2	la Tri Gorĝoj; la Tri Gorĝoj de Jangzio-Rivero
三葉草	san1 ye4 cao3	(pla-sci) trifolio; trifolifloro (latine, Trifolium repens)
三億	san1 yi4	tricent miliono (300 000 000)
三月	san1 yue4	marto
三月八號	san1 yue4  ba1  hao4	la oka de marto
三月八日	san1 yue4  ba1  ri4	la oka de marto
三月二號	san1 yue4  er4  hao4	la dua de marto
三月二日	san1 yue4  er4  ri4	la dua de marto
三月二十號	san1 yue4  er4 shi2  hao4	la dudeka de marto
三月二十日	san1 yue4  er4 shi2  ri4	la dudeka de marto
三月二十八號	san1 yue4  er4 shi2 ba1  hao4	la dudek oka de marto
三月二十八日	san1 yue4  er4 shi2 ba1  ri4	la dudek oka de marto
三月二十二號	san1 yue4  er4 shi2 er4  hao4	la dudek dua de marto
三月二十二日	san1 yue4  er4 shi2 er4  ri4	la dudek dua de marto
三月二十九號	san1 yue4  er4 shi2 jiu3  hao4	la dudek naŭa de marto
三月二十九日	san1 yue4  er4 shi2 jiu3  ri4	la dudek naŭa de marto
三月二十六號	san1 yue4  er4 shi2 liu4  hao4	la dudek sesa de marto
三月二十六日	san1 yue4  er4 shi2 liu4  ri4	la dudek sesa de marto
三月二十七號	san1 yue4  er4 shi2 qi1  hao4	la dudek sepa de marto
三月二十七日	san1 yue4  er4 shi2 qi1  ri4	la dudek sepa de marto
三月二十三號	san1 yue4  er4 shi2 san1  hao4	la dudek tria de marto
三月二十三日	san1 yue4  er4 shi2 san1  ri4	la dudek tria de marto
三月二十四號	san1 yue4  er4 shi2 si4  hao4	la dudek kvara de marto
三月二十四日	san1 yue4  er4 shi2 si4  ri4	la dudek kvara de marto
三月二十五號	san1 yue4  er4 shi2 wu3  hao4	la dudek kvina de marto
三月二十五日	san1 yue4  er4 shi2 wu3  ri4	la dudek kvina de marto
三月二十一號	san1 yue4  er4 shi2 yi1  hao4	la dudek unua de marto
三月二十一日	san1 yue4  er4 shi2 yi1  ri4	la dudek unua de marto
三月九號	san1 yue4  jiu3  hao4	la naŭa de marto
三月九日	san1 yue4  jiu3  ri4	la naŭa de marto
三月六號	san1 yue4  liu4  hao4	la sesa de marto
三月六日	san1 yue4  liu4  ri4	la sesa de marto
三月七號	san1 yue4  qi1  hao4	la sepa de marto
三月七日	san1 yue4  qi1  ri4	la sepa de marto
三月三號	san1 yue4  san1  hao4	la tria de marto
三月三日	san1 yue4  san1  ri4	la tria de marto
三月三十號	san1 yue4  san1 shi2  hao4	la trideka de marto
三月三十日	san1 yue4  san1 shi2  ri4	la trideka de marto
三月三十一號	san1 yue4  san1 shi2 yi1  hao4	la tridek unua de marto
三月三十一日	san1 yue4  san1 shi2 yi1  ri4	la tridek unua de marto
三月十號	san1 yue4  shi2  hao4	la deka de marto
三月十日	san1 yue4  shi2  ri4	la deka de marto
三月十八號	san1 yue4  shi2 ba1  hao4	la dek oka de marto
三月十八日	san1 yue4  shi2 ba1  ri4	la dek oka de marto
三月十二號	san1 yue4  shi2 er4  hao4	la dek dua de marto
三月十二日	san1 yue4  shi2 er4  ri4	la dek dua de marto
三月十九號	san1 yue4  shi2 jiu3  hao4	la dek naŭa de marto
三月十九日	san1 yue4  shi2 jiu3  ri4	la dek naŭa de marto
三月十六號	san1 yue4  shi2 liu4  hao4	la dek sesa de marto
三月十六日	san1 yue4  shi2 liu4  ri4	la dek sesa de marto
三月十七號	san1 yue4  shi2 qi1  hao4	la dek sepa de marto
三月十七日	san1 yue4  shi2 qi1  ri4	la dek sepa de marto
三月十三號	san1 yue4  shi2 san1  hao4	la dek tria de marto
三月十三日	san1 yue4  shi2 san1  ri4	la dek tria de marto
三月十四號	san1 yue4  shi2 si4  hao4	la dek kvara de marto
三月十四日	san1 yue4  shi2 si4  ri4	la dek kvara de marto
三月十五號	san1 yue4  shi2 wu3  hao4	la dek kvina de marto
三月十五日	san1 yue4  shi2 wu3  ri4	la dek kvina de marto
三月十一號	san1 yue4  shi2 yi1  hao4	la dek unua de marto
三月十一日	san1 yue4  shi2 yi1  ri4	la dek unua de marto
三月四號	san1 yue4  si4  hao4	la kvara de marto
三月四日	san1 yue4  si4  ri4	la kvara de marto
三月五號	san1 yue4  wu3  hao4	la kvina de marto
三月五日	san1 yue4  wu3  ri4	la kvina de marto
三月一號	san1 yue4  yi1  hao4	la unua de marto
三月一日	san1 yue4  yi1  ri4	la unua de marto
散步	san4 bu4	promeni
桑	sang1	(pla-sci) morusarbo; (latine, Morus alba)
桑樹	sang1 shu4	(pla-sci) morusarbo; (latine, Morus alba)
搔癢	sao1 yang3	tikli
掃帚星	sao3 zhou3 xing1	kometo
掃把	sao4 ba3	balailo
銫	se4	(kem) cezio; la elemento cezio (Cs), atomnumero 55
森林	sen1 lin2	arbaro
僧帽花	seng1 mao4 hua1	(pla-sci) platikodono; platikodonfloro (latine, Platycodon grandiflorus)
鯊	sha1	ŝarko (fiŝo)
剎車	sha1 che1	bremsoj
沙丁魚	sha1 ding1 yu2	sardelo (fiŝo)
沙發	sha1 fa1	sofo
沙粒	sha1 li4	sablero
沙漠	sha1 mo4	dezerto
殺	sha1 si3	mortigi
殺死	sha1 si3	mortigi
鯊魚	sha1 yu2	ŝarko (fiŝo)
沙子	sha1 zi5	sablo
杉	shan1	(pla-sci) abio; abiarbo (latine, Abies)
山	shan1	monto
釤	shan1	(kem) samario; la elemento samario (Sm), atomnumero 62
山茶花	shan1 cha2 hua1	(pla-sci) kamelio; kamelifloro (latine, Camellia)
山東	shan1 dong1	Ŝandongo; provinco de Ĉinio
山毛櫸	shan1 mao2 ju3	(pla-sci) fago; fagarbo (latine, Fagus)
山毛櫸樹	shan1 mao2 ju3 shu4	(pla-sci) fago; fagarbo (latine, Fagus)
山丘	shan1 qiu1	monteto
姍姍來遲	shan1 shan1  lai2 chi2	alveni malfrue
杉樹	shan1 shu4	(pla-sci) abio; abiarbo (latine, Abies)
山西	shan1 xi1	Ŝanhajo; provinco de Ĉinio
山羊	shan1 yang2	kapro (mambesto)
山查	shan1 zha1	(pla-sci) kratago; kratagarbo (latine, Crataegus)
山楂	shan1 zha1	(pla-sci) kratago; kratagarbo (latine, Crataegus)
山茱萸	shan1 zhu1 yu2	(pla-sci) kornuso; kornusarbo (latine, Cornus)
山茱萸樹	shan1 zhu1 yu2 shu4	(pla-sci) kornuso; kornusarbo (latine, Cornus)
陝	shan3	Ŝenŝjio; mallongiga formo de Ŝenŝjio
閃電	shan3 dian4	fulmo
陝西	shan3 xi1	Ŝenŝjio; provinco de Ĉinio
扇	shan4	ventumilo
扇子	shan4 zi5	ventumilo
商	shang1	la Ŝang-dinastio; Dinastio Ŝang
商場	shang1 chang3	butikaro
商朝	shang1 chao2	Ŝang-dinastio; Dinastio Ŝang; ~1600 a.KE-~1100 a.KE
商店	shang1 dian4	vendejo
傷害	shang1 hai4	dolorigi
商量	shang1 liang2	diskuti
商人	shang1 ren2	negocisto
傷心	shang1 xin1	malfeliĉa; malgaja; malĝoja
商業	shang1 ye4	komerco
上	shang4	sur
尚	shang4	eĉ
尚	shang4	ankoraŭ
上帝	shang4 di4	Dio
上海	shang4 hai3	Ŝanhajo; ĉina urbo Ŝanhajo
上面	shang4 mian4	sur; supre
尚且	shang4 qie3	eĉ
上升	shang4 sheng1	leviĝi
尚未	shang4 wei4	ankoraŭ ne
上午	shang4 wu3	mateno
少	shao3	malmulta
猞	she1	linko (mambesto)
猞猁	she1 li4	linko (mambesto)
蛇	she2	serpento (reptilio)
舌	she2	(anat) lango
舌頭	she2 tou5	(anat) lango
設備	she4 bei4	ekipaĵo
攝護腺	she4 hu4 xian4	(anat) prostato
社會	she4 hui4	socio
社會契約	she4 hui4  qi4 yue1	socia kontrakto
社區	she4 qu1	komunumo
誰	shei2 ?	kiu?
誰不	shei2 bu4	neniu
誰的	shei2 de5	kies
誰都	shei2 dou1	iu ajn
誰都不	shei2 dou1 bu4	neniu
身	shen1	korpo
深	shen1	profunda
砷	shen1	(kem) arseno; la elemento arseno (As), atomnumero 33
身高	shen1 gao1	alto
身軀	shen1 qu1	homa korpo
身體	shen1 ti3	(anat) korpo
神話	shen2 hua4	mito
神話	shen2 hua4	mitaro; mitologio
神經	shen2 jing1	(anat) nervo
神經系統	shen2 jing1  xi4 tong3	nerva sistemo
什麼	shen2 me5	kio?
什麼時候	shen2 me5  shi2 hou5	kiam?
什麼都	shen2 me5 dou1	io ajn
什麼樣	shen2 me5 yang5	kia
神秘	shen2 mi4	mistera
神聖	shen2 sheng4	sankta
神聖羅馬帝國	Shen2 sheng4  Luo2 ma3  Di4 guo2	Sankta Romia Imperio
沈陽	shen3 yang2	Ŝenjango; ĉefurbo de la ĉina provinco Ljaŭningo
腎	shen4	(anat) reno
腎上腺	shen4 shang4 xian4	(anat) surrenaj glandoj
腎上腺素	shen4 shang4 xian4 su4	(anat) adrenalino
腎臟	shen4 zang4	(anat) reno
牲	sheng1	oferi
生	sheng1	studento
生	sheng1	naski
生	sheng1	naskiĝi
生病	sheng1 bing4	malsaniĝi
生化過程	sheng1 hua4  guo4 cheng2	biokemia procezo
生活	sheng1 huo2	vivi
勝利	sheng1 li4	venko
聲明	sheng1 ming2	deklaro
生命	sheng1 ming4	vivo
生氣	sheng1 qi4	kolera
生日	sheng1 ri4	naskiĝtago
生日宴會	sheng1 ri4  yan4 hui4	naskiĝfesto
生物	sheng1 wu4	vivaĵo; organismo
生下	sheng1 xia4	naski
生鏽	sheng1 xiu4	rusti
生涯	sheng1 ya2	kariero
生意	sheng1 yi4	negoco
聲音	sheng1 yin1	sono
生於	sheng1 yu2	naskiĝis
生殖器官	sheng1 zhi2  qi4 guan1	(anat) reprodukta organo
生殖系統	sheng1 zhi2  xi4 tong3	reprodukta sistemo
生殖器	sheng1 zhi2 qi4	(anat) reprodukta organo
繩索	sheng2 suo3	ŝnuro
省	sheng3	provinco
省	sheng3	ŝpari
省份	sheng3 fen4	provinco
省錢	sheng3 qian2	ŝpari monon
失	shi1	perdi
虱	shi1	pediko (insekto)
師	shi1	instruisto
濕	shi1	malseka
獅	shi1	leono (mambesto)
失敗	shi1 bai4	malsukcesi
詩歌	shi1 ge1	poemo
詩歌女神繆斯姐妹	shi1 ge1  nv3 shen2  Miu4 si1  jie3 mei4	Muzoj (helena mitologio)
失衡	shi1 heng2	malekvilibro
詩集	shi1 ji2	poemaro
失去	shi1 qu4	perdi
失業	shi1 ye3	senlabora; senlaboreco
失業	shi1 ye4	maldungita
詩意	shi1 yi4	poema; poezia
獅子	shi1 zi5	leono (mambesto)
時	shi2	tempo
識	shi2	koni
十	shi2	dek (10)
時	shi2	kiam; dum
時	shi2	horo
十分鐘	shi2  fen1 zhong1	dek minutoj
十八	shi2 ba1	dek ok (18)
十倍	shi2 bei4	dekoble
十次	shi2 ci4	dekfoje
時代	shi2 dai4	epoko
食道	shi2 dao4	(anat) ezofago
十點	shi2 dian3	la deka horo
十點鐘	shi2 dian3	la deka horo
十二	shi2 er4	dek du (12)
十二點	shi2 er4 dian3	la dek-dua horo
十二點鐘	shi2 er4 dian3	la dek-dua horo
十二月	shi2 er4 yue4	decembro
十二月八號	shi2 er4 yue4 ba1  hao4	la oka de decembro
十二月八日	shi2 er4 yue4 ba1  ri4	la oka de decembro
十二月二號	shi2 er4 yue4 er4 hao4	la dua de decembro
十二月二日	shi2 er4 yue4 er4 ri4	la dua de decembro
十二月二十號	shi2 er4 yue4 er4 shi2  hao4	la dudeka de decembro
十二月二十日	shi2 er4 yue4 er4 shi2  ri4	la dudeka de decembro
十二月二十八號	shi2 er4 yue4 er4 shi2 ba1  hao4	la dudek oka de decembro
十二月二十八日	shi2 er4 yue4 er4 shi2 ba1  ri4	la dudek oka de decembro
十二月二十二號	shi2 er4 yue4 er4 shi2 er4  hao4	la dudek dua de decembro
十二月二十二日	shi2 er4 yue4 er4 shi2 er4  ri4	la dudek dua de decembro
十二月二十九號	shi2 er4 yue4 er4 shi2 jiu3  hao4	la dudek naŭa de decembro
十二月二十九日	shi2 er4 yue4 er4 shi2 jiu3  ri4	la dudek naŭa de decembro
十二月二十六號	shi2 er4 yue4 er4 shi2 liu4  hao4	la dudek sesa de decembro
十二月二十六日	shi2 er4 yue4 er4 shi2 liu4  ri4	la dudek sesa de decembro
十二月二十七號	shi2 er4 yue4 er4 shi2 qi1  hao4	la dudek sepa de decembro
十二月二十七日	shi2 er4 yue4 er4 shi2 qi1  ri4	la dudek sepa de decembro
十二月二十三號	shi2 er4 yue4 er4 shi2 san1  hao4	la dudek tria de decembro
十二月二十三日	shi2 er4 yue4 er4 shi2 san1  ri4	la dudek tria de decembro
十二月二十四號	shi2 er4 yue4 er4 shi2 si4  hao4	la dudek kvara de decembro
十二月二十四日	shi2 er4 yue4 er4 shi2 si4  ri4	la dudek kvara de decembro
十二月二十五號	shi2 er4 yue4 er4 shi2 wu3  hao4	la dudek kvina de decembro
十二月二十五日	shi2 er4 yue4 er4 shi2 wu3  ri4	la dudek kvina de decembro
十二月二十一號	shi2 er4 yue4 er4 shi2 yi1  hao4	la dudek unua de decembro
十二月二十一日	shi2 er4 yue4 er4 shi2 yi1  ri4	la dudek unua de decembro
十二月九號	shi2 er4 yue4 jiu3  hao4	la naŭa de decembro
十二月九日	shi2 er4 yue4 jiu3  ri4	la naŭa de decembro
十二月六號	shi2 er4 yue4 liu4  hao4	la sesa de decembro
十二月六日	shi2 er4 yue4 liu4  ri4	la sesa de decembro
十二月七號	shi2 er4 yue4 qi1  hao4	la sepa de decembro
十二月七日	shi2 er4 yue4 qi1  ri4	la sepa de decembro
十二月三號	shi2 er4 yue4 san1  hao4	la tria de decembro
十二月三日	shi2 er4 yue4 san1  ri4	la tria de decembro
十二月三十號	shi2 er4 yue4 san1 shi2  hao4	la trideka de decembro
十二月三十日	shi2 er4 yue4 san1 shi2  ri4	la trideka de decembro
十二月三十一號	shi2 er4 yue4 san1 shi2 yi1  hao4	la tridek unua de decembro
十二月三十一日	shi2 er4 yue4 san1 shi2 yi1  ri4	la tridek unua de decembro
十二月十號	shi2 er4 yue4 shi2  hao4	la deka de decembro
十二月十日	shi2 er4 yue4 shi2  ri4	la deka de decembro
十二月十八號	shi2 er4 yue4 shi2 ba1  hao4	la dek oka de decembro
十二月十八日	shi2 er4 yue4 shi2 ba1  ri4	la dek oka de decembro
十二月十二號	shi2 er4 yue4 shi2 er4  hao4	la dek dua de decembro
十二月十二日	shi2 er4 yue4 shi2 er4  ri4	la dek dua de decembro
十二月十九號	shi2 er4 yue4 shi2 jiu3  hao4	la dek naŭa de decembro
十二月十九日	shi2 er4 yue4 shi2 jiu3  ri4	la dek naŭa de decembro
十二月十六號	shi2 er4 yue4 shi2 liu4  hao4	la dek sesa de decembro
十二月十六日	shi2 er4 yue4 shi2 liu4  ri4	la dek sesa de decembro
十二月十七號	shi2 er4 yue4 shi2 qi1  hao4	la dek sepa de decembro
十二月十七日	shi2 er4 yue4 shi2 qi1  ri4	la dek sepa de decembro
十二月十三號	shi2 er4 yue4 shi2 san1  hao4	la dek tria de decembro
十二月十三日	shi2 er4 yue4 shi2 san1  ri4	la dek tria de decembro
十二月十四號	shi2 er4 yue4 shi2 si4  hao4	la dek kvara de decembro
十二月十四日	shi2 er4 yue4 shi2 si4  ri4	la dek kvara de decembro
十二月十五號	shi2 er4 yue4 shi2 wu3  hao4	la dek kvina de decembro
十二月十五日	shi2 er4 yue4 shi2 wu3  ri4	la dek kvina de decembro
十二月十一號	shi2 er4 yue4 shi2 yi1  hao4	la dek unua de decembro
十二月十一日	shi2 er4 yue4 shi2 yi1  ri4	la dek unua de decembro
十二月四號	shi2 er4 yue4 si4  hao4	la kvara de decembro
十二月四日	shi2 er4 yue4 si4  ri4	la kvara de decembro
十二月五號	shi2 er4 yue4 wu3  hao4	la kvina de decembro
十二月五日	shi2 er4 yue4 wu3  ri4	la kvina de decembro
十二月一號	shi2 er4 yue4 yi1  hao4	la unua de decembro
十二月一日	shi2 er4 yue4 yi1  ri4	la unua de decembro
十二指腸	shi2 er4 zhi3 chang2	(anat) duodeno
十分之一	shi2 fen1 zhi1 yi1	dekono
石膏	shi2 gao1	gipso
時光	shi2 guang1	tempo
時光機	shi2 guang1 ji1	tempomaŝino
實際	shi2 ji4	praktika
石家莊	shi2 jia1 zhuang1	Shijiazhuang; ĉefurbo de la ĉina provinco Hebejo
時間	shi2 jian1	tempo
時間表	shi2 jian1 biao3	horaro
石匠	shi2 jiang1	ŝtonhakisto; masonisto
十九	shi2 jiu3	dek naŭ (19)
時刻	shi2 ke4	momento
時空	shi2 kong1	(fiz) spacotempo
石榴樹	shi2 liu2 shu4	(pla-sci) granatarbo; (latine, Punica granatum)
十六	shi2 liu4	dek ses (16)
十六國	shi2 liu4 guo2	Deksesa-Reĝlandoj; Periodo de la Deksesa-Reĝlandoj; 304-439 KE
石南花	shi2 nan2 hua1	(pla-sci) eriko; erikfloro (latine, Calluna vulgaris)
十七	shi2 qi1	dek sep (17)
十三	shi2 san1	dek tri (13)
十四	shi2 si4	dek kvar (14)
時態	shi2 tai4	tenso (gramatiko)
食堂	shi2 tang2	kafeterio
石頭	shi2 tou5	ŝtono
十萬	shi2 wan4	cent mil (100 000)
十五	shi2 wu3	dek kvin (15)
十五分鐘	shi2 wu3  fen1 zhong1	dek kvin minutoj
食物	shi2 wu4	manĝaĵo
實驗室	shi2 yan4 shi4	laboratorio
十一	shi2 yi1	dek unu (11)
十一點鐘	shi2 yi1 dian3	la dek-unua horo
十一點	shi2 yi1 dian3	la dek-unua horo
十一月	shi2 yi1 yue4	novembro
十一月八號	shi2 yi1 yue4  ba1  hao4	la oka de novembro
十一月八日	shi2 yi1 yue4  ba1  ri4	la oka de novembro
十一月二號	shi2 yi1 yue4  er4  hao4	la dua de novembro
十一月二日	shi2 yi1 yue4  er4  ri4	la dua de novembro
十一月二十號	shi2 yi1 yue4  er4 shi2  hao4	la dudeka de novembro
十一月二十日	shi2 yi1 yue4  er4 shi2  ri4	la dudeka de novembro
十一月二十八號	shi2 yi1 yue4  er4 shi2 ba1  hao4	la dudek oka de novembro
十一月二十八日	shi2 yi1 yue4  er4 shi2 ba1  ri4	la dudek oka de novembro
十一月二十二號	shi2 yi1 yue4  er4 shi2 er4  hao4	la dudek dua de novembro
十一月二十二日	shi2 yi1 yue4  er4 shi2 er4  ri4	la dudek dua de novembro
十一月二十九號	shi2 yi1 yue4  er4 shi2 jiu3  hao4	la dudek naŭa de novembro
十一月二十九日	shi2 yi1 yue4  er4 shi2 jiu3  ri4	la dudek naŭa de novembro
十一月二十六號	shi2 yi1 yue4  er4 shi2 liu4  hao4	la dudek sesa de novembro
十一月二十六日	shi2 yi1 yue4  er4 shi2 liu4  ri4	la dudek sesa de novembro
十一月二十七號	shi2 yi1 yue4  er4 shi2 qi1  hao4	la dudek sepa de novembro
十一月二十七日	shi2 yi1 yue4  er4 shi2 qi1  ri4	la dudek sepa de novembro
十一月二十三號	shi2 yi1 yue4  er4 shi2 san1  hao4	la dudek tria de novembro
十一月二十三日	shi2 yi1 yue4  er4 shi2 san1  ri4	la dudek tria de novembro
十一月二十四號	shi2 yi1 yue4  er4 shi2 si4  hao4	la dudek kvara de novembro
十一月二十四日	shi2 yi1 yue4  er4 shi2 si4  ri4	la dudek kvara de novembro
十一月二十五號	shi2 yi1 yue4  er4 shi2 wu3  hao4	la dudek kvina de novembro
十一月二十五日	shi2 yi1 yue4  er4 shi2 wu3  ri4	la dudek kvina de novembro
十一月二十一號	shi2 yi1 yue4  er4 shi2 yi1  hao4	la dudek unua de novembro
十一月二十一日	shi2 yi1 yue4  er4 shi2 yi1  ri4	la dudek unua de novembro
十一月九號	shi2 yi1 yue4  jiu3  hao4	la naŭa de novembro
十一月九日	shi2 yi1 yue4  jiu3  ri4	la naŭa de novembro
十一月六號	shi2 yi1 yue4  liu4  hao4	la sesa de novembro
十一月六日	shi2 yi1 yue4  liu4  ri4	la sesa de novembro
十一月七號	shi2 yi1 yue4  qi1  hao4	la sepa de novembro
十一月七日	shi2 yi1 yue4  qi1  ri4	la sepa de novembro
十一月三號	shi2 yi1 yue4  san1  hao4	la tria de novembro
十一月三日	shi2 yi1 yue4  san1  ri4	la tria de novembro
十一月三十號	shi2 yi1 yue4  san1 shi2  hao4	la trideka de novembro
十一月三十日	shi2 yi1 yue4  san1 shi2  ri4	la trideka de novembro
十一月十號	shi2 yi1 yue4  shi2  hao4	la deka de novembro
十一月十日	shi2 yi1 yue4  shi2  ri4	la deka de novembro
十一月十八號	shi2 yi1 yue4  shi2 ba1  hao4	la dek oka de novembro
十一月十八日	shi2 yi1 yue4  shi2 ba1  ri4	la dek oka de novembro
