开放汉世词典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［中文］	［拼音］	［世界语］
蔷薇树	qiang2 wei1 shu4	(pla-sci) palisandro; (latine, Dalbergia nigra)
墙壁	qiangbi	muro
敲门	qiao1 men2	frapi sur la pordon
乔	qiao2	alta
且	qie3	kaj
亲	qin1	parenca
亲	qin1	kisi
亲	qin1	intima
亲戚	qin1 qi1	parenco; parencaro
亲切	qin1 qie4	afabla; kompleza; komplezema
亲亲	qin1 qin1	kisi
亲属	qin1 shu3	parenco
亲眼	qin1 yan3	propraokule
亲眼看到	qin1 yan3  kan4 dao4	propraokule vidi
亲嘴	qin1 zui3	kisi
秦	qin2	la Ĉin-dinastio; Dinastio Ĉin
秦朝	qin2 chao2	Ĉin-dinastio; Dinastio Ĉin; 221 a.KE-206 a.KE
秦始皇	Qin2 shi3 huang2	La Unua Imperiestro de la Dinastio Qin
蜻	qing1	libelo (insekto)
轻	qing1	malpeza
氢	qing1	(kem) hidrogeno; la elemento hidrogeno (H), atomnumero 1
清	qing1	la Ĉing-dinastio; Dinastio Ĉing
青	qing1	Ĉinghajo; mallongiga formo de Ĉinghajo
清	qing1	klara
青草	qing1 cao3	(pla-sci) herbo
清朝	qing1 chao2	Ĉing-dinastio; Dinastio Ĉing; 1644-1911 KE
清楚	qing1 chu3	klara
轻工业	qing1 gong1 ye4	malpeza industrio
青海	qing1 hai3	Ĉinghajo; provinco de Ĉinio
清洁	qing1 jie2	purigi
青年	qing1 nian2	junulo
轻水	qing1 shui3	(fiz) malpeza akvo
轻松	qing1 song1	malstreĉita; malstreĉiĝa
青苔	qing1 tai2	(pla-sci) muskoj
蜻蜓	qing1 ting2	libelo (insekto)
青铜	qing1 tong2	bronzo
青蛙	qing1 wa1	rano (amfibio)
清醒	qing1 xing3	maldorma
清醒	qing1 xing3	vekiĝi
清醒	qing1 xing3	malebria
清醒过来	qing1 xing3  guo4 lai2	vekiĝi
轻易	qing1 yi4	facile
清真教	qing1 zhen1 jiao4	islamo
清真教徒	qing1 zhen1 jiao4 tu2	islamano
清真寺	qing1 zhen1 si4	moskeo
情况	qing2 kuang4	cirkonstanco; situacio
晴朗	qing2 lang3	suna; sunbrila
情人	qing2 ren2	amanto
请	qing3	bonvolu
请便	qing3 bian4	servu vin
庆	qing4	festi
庆祝	qing4 zhu4	festi
琼	qiong2	Hajnano; mallongiga formo de Hajnano
蚯	qiu1	vermo
秋	qiu1	aŭtuno
秋分	qiu1 fen1	la aŭtuna ekvinokso
秋海棠	qiu1 hai3 tang2	(pla-sci) begonio; begonifloro (latine, Begonia)
秋海棠花	qiu1 hai3 tang2 hua1	(pla-sci) begonio; begonifloro (latine, Begonia)
秋麒麟草	qiu1 qi2 lin2 cao3	(pla-sci) solidago; orvergo; (latine, Solidago)
秋天	qiu1 tian1	aŭtuno
蚯蚓	qiu1 yin3	vermo
犰	qiu2	dazipo; dazipedo (mambesto)
犰狳	qiu2 yu2	dazipo; dazipedo (mambesto)
酋长	qiu2 zhang3	ŝejko
躯	qu1	(anat) homa korpo
区	qu1	regiono
躯干	qu1 gan4	(anat) trunko
趋势	qu1 shi4	emo; tendenco
趋向于	qu1 xiang4	emi; -ema
趋向	qu1 xiang4	emo
曲目	qu3 mu4	listo de kantoj; traklisto
取消	qu3 xiao1	nuligi
取悦	qu3 yue4	plaĉi
去	qu4	iri
去世	qu4 shi4	morti
去氧核糖核酸	qu4 yang3  he2 tang2 he2 suan1	deoksiribonuklea acido; DNA
全	quan2	tuta; tutaj
颧	quan2	(anat) vangosto
拳	quan2	(anat) pugno
全部	quan2 bu4	tute
颧骨	quan2 gu3	(anat) vangosto
权利	quan2 li4	rajto
全名	quan2 ming2	tuta nomo
全球	quan2 qiu2	tutmonda
全球化	quan2 qiu2 hua4	tutmondigo
全世界	quan2 shi4 jie4	tuta mondo; tutmondaj
拳头	quan2 tou5	(anat) pugno
犬齿	quan3 chi3	kojnodento; kanino (dento)
劝	quan4	konsili
劝告	quan4 gao4	konsili
劝说	quan4 shuo1	konsili
缺少	que1 shao3	malhavi; manki
雀	que4	pasero (birdo)
确	que4	ja
确定	que4 ding4	certa; certigi
确实	que4 shi2	ja
裙子	qun2 zi5	jupo
然	ran2	tia
然后	ran2 hou4	poste
染料	ran3 liao4	farbo; tinkturo
让	rang4	lasi
桡动脉	rao2 dong4 mai4	pulma arterio
桡骨	rao2 gu3	(anat) radiuso
惹生气	re3 sheng1 qi4	kolerigi
热	re4	varma
热量	re4 liang4	(fiz) varmo
热情	re4 qing2	entuziasma
人	ren2	homo; persono
人称代词	ren2 cheng1  dai4 ci2	persona pronomo (gramatiko)
人口	ren2 kou3	loĝantaro
人类	ren2 lei4	homaro; homo
人民	ren2 min2	popolo
人群	ren2 qun2	homamaso
人体	ren2 ti3	(anat) homa korpo
人头马	ren2 tou2 ma3	Centaŭro (helena mitologio)
忍冬	ren3 dong1	(pla-sci) lonicero; (latine, Lonicera)
忍耐	ren3 nai4	suferi; toleri
忍受	ren3 shou4	suferi; elporti
忍心	ren3 xin1	tolerema
认	ren4	koni
韧带	ren4 dai4	(anat) ligamento
任何	ren4 he2	iu ajn
认识	ren4 shi5	koni
认为	ren4 wei2	pensi ke
扔球	reng1 qiu2	ĵeti pilkon
仍	reng2	ankoraŭ
仍然	reng2 ran2	ankoraŭ
日	ri4	tago
日	ri4	suno
日	ri4	dimanĉo
日本	Ri4 ben3	Japanio
日本话	ri4 ben3 hua4	la japana; la japana lingvo; "japana parolo"
日出	ri4 chu1	sunleviĝo
日光兰	ri4 guang1 lan2	(pla-sci) asfodelo; asfodelfloro (latine, Asphodelus ramosus)
日光兰花	ri4 guang1 lan2 hua1	(pla-sci) asfodelo; asfodelfloro (latine, Asphodelus ramosus)
日记	ri4 ji4	taglibro
日历	ri4 li4	kalendaro
日落	ri4 luo4	sunsubiro
日内瓦公约	ri4 nei4 wa3  gong1 yue1	Konvencioj de Ĝenevo
日文	ri4 wen2	la japana; la japana lingvo
日语	ri4 yu3	la japana; la japana lingvo
榕	rong2	(pla-sci) banjano
蓉	rong2	(pla-sci) lotuso; lotusfloro (latine, Nelumbo nucifera)
容量	rong2 liang4	enhavebleco; kapacito
容忍	rong2 ren3	toleri
榕树	rong2 shu4	(pla-sci) banjano
容易	rong2 yi4	facila
肉	rou4	viando
肉豆蔻树	rou4 dou4 kou4 shu4	(pla-sci) muskatarbo; (latine, Myristica fragrans)
肉桂树	rou4 gui4 shu4	(pla-sci) cinamo; cinamarbo (latine, Cinnamomum verum)
铷	ru2	(kem) rubidio; la elemento rubidio (Rb), atomnumero 37
如果	ru2 guo3	se
如果你不介意的话	ru2 guo3  ni3  bu4  jie4 yi4  de5 hua4	se vi ne zorgas
乳	ru3	(anat) mamo
乳齿	ru3 chi3	laktodento
乳房	ru3 fang2	(anat) mamo
奶酪	ru3 lao4	fromaĝo
乳头	ru3 tou5	(anat) cico
入	ru4	en
入	ru4	eniri
入口	ru4 kou3	enirejo
软	ruan3	mola
软骨	ruan3 gu3	(anat) kartilago
软件	ruan3 jian4	programaro
软木橡树	ruan3 mu4  xiang4 shu4	(pla-sci) korkokverko; korkokverkarbo (latine, Quercus suber)
软弱	ruan3 ruo4	malforta
软组织	ruan3 zu3 zhi1	(anat) mola histo
瑞典语	rui4 dian3 yu3	la sveda; la sveda lingvo
锐利	rui4 li4	akra
润滑	run4 hua2	glata
闰年	run4 nian2	superjaro
弱	ruo4	malforta
撒谎	sa1 huang3	mensogi
卅	sa4	tridek (30)
卅八	sa4 ba1	tridek ok (38)
卅二	sa4 er4	tridek du (32)
卅九	sa4 jiu3	tridek naŭ (39)
卅六	sa4 liu4	tridek ses (36)
卅七	sa4 qi1	tridek sep (37)
卅三	sa4 san1	tridek tri (33)
卅四	sa4 si4	tridek kvar (34)
卅五	sa4 wu3	tridek kvin (35)
卅一	sa4 yi1	tridek unu (31)
塞尔维亚语	sai4 er3 wei2 ya4 yu3	la serba; la serba lingvo
赛跑	sai4 pao3	vetkuri
三	san1	merkredo
三	san1	tri (3)
三分钟	san1  fen1 zhong1	tri minutoj
三百	san1 bai3	tricent (300)
三百万	san1 bai3 wan4	tri miliono (3 000 000)
三倍	san1 bei4	trioble
三次	san1 ci4	trifoje
三点钟	san1 dian3	la tria horo
三点	san1 dian3	la tria horo
三分之一	san1 fen1 zhi1 yi1	triono
三国	san1 guo2	Tri Reĝlandoj; Periodo de la Tri Reĝlandoj; 220-280 KE
三国时代	san1 guo2  shi2 dai4	Periodo de la Tri Reĝlandoj; 220-280 KE
三角肌	san1 jiao3 ji1	(anat) deltoida muskolo; deltoido
三角形	san1 jiao3 xing2	triangulo
三千	san1 qian1	tri mil (3 000)
三千万	san1 qian1 wan4	tridek miliono (30 000 000)
三十	san1 shi2	tridek (30)
三十分钟	san1 shi2  fen1 zhong1	tridek minutoj
三十八	san1 shi2 ba1	tridek ok (38)
三十二	san1 shi2 er4	tridek du (32)
三十九	san1 shi2 jiu3	tridek naŭ (39)
三十六	san1 shi2 liu4	tridek ses (36)
三十七	san1 shi2 qi1	tridek sep (37)
三十三	san1 shi2 san1	tridek tri (33)
三十四	san1 shi2 si4	tridek kvar (34)
三十万	san1 shi2 wan4	tricent mil (300 000)
三十五	san1 shi2 wu3	tridek kvin (35)
三十五分钟	san1 shi2 wu3  fen1 zhong1	tridek kvin minutoj
三十一	san1 shi2 yi1	tridek unu (31)
三十亿	san1 shi2 yi4	tri miliardo (3 000 000 000)
三头肌	san1 tou2 ji1	(anat) tricepso; trikapa muskolo
三万	san1 wan4	tridek mil (30 000)
三峡	San1 xia2	la Tri Gorĝoj; la Tri Gorĝoj de Jangzio-Rivero
三叶草	san1 ye4 cao3	(pla-sci) trifolio; trifolifloro (latine, Trifolium repens)
三亿	san1 yi4	tricent miliono (300 000 000)
三月	san1 yue4	marto
三月八号	san1 yue4  ba1  hao4	la oka de marto
三月八日	san1 yue4  ba1  ri4	la oka de marto
三月二号	san1 yue4  er4  hao4	la dua de marto
三月二日	san1 yue4  er4  ri4	la dua de marto
三月二十号	san1 yue4  er4 shi2  hao4	la dudeka de marto
三月二十日	san1 yue4  er4 shi2  ri4	la dudeka de marto
三月二十八号	san1 yue4  er4 shi2 ba1  hao4	la dudek oka de marto
三月二十八日	san1 yue4  er4 shi2 ba1  ri4	la dudek oka de marto
三月二十二号	san1 yue4  er4 shi2 er4  hao4	la dudek dua de marto
三月二十二日	san1 yue4  er4 shi2 er4  ri4	la dudek dua de marto
三月二十九号	san1 yue4  er4 shi2 jiu3  hao4	la dudek naŭa de marto
三月二十九日	san1 yue4  er4 shi2 jiu3  ri4	la dudek naŭa de marto
三月二十六号	san1 yue4  er4 shi2 liu4  hao4	la dudek sesa de marto
三月二十六日	san1 yue4  er4 shi2 liu4  ri4	la dudek sesa de marto
三月二十七号	san1 yue4  er4 shi2 qi1  hao4	la dudek sepa de marto
三月二十七日	san1 yue4  er4 shi2 qi1  ri4	la dudek sepa de marto
三月二十三号	san1 yue4  er4 shi2 san1  hao4	la dudek tria de marto
三月二十三日	san1 yue4  er4 shi2 san1  ri4	la dudek tria de marto
三月二十四号	san1 yue4  er4 shi2 si4  hao4	la dudek kvara de marto
三月二十四日	san1 yue4  er4 shi2 si4  ri4	la dudek kvara de marto
三月二十五号	san1 yue4  er4 shi2 wu3  hao4	la dudek kvina de marto
三月二十五日	san1 yue4  er4 shi2 wu3  ri4	la dudek kvina de marto
三月二十一号	san1 yue4  er4 shi2 yi1  hao4	la dudek unua de marto
三月二十一日	san1 yue4  er4 shi2 yi1  ri4	la dudek unua de marto
三月九号	san1 yue4  jiu3  hao4	la naŭa de marto
三月九日	san1 yue4  jiu3  ri4	la naŭa de marto
三月六号	san1 yue4  liu4  hao4	la sesa de marto
三月六日	san1 yue4  liu4  ri4	la sesa de marto
三月七号	san1 yue4  qi1  hao4	la sepa de marto
三月七日	san1 yue4  qi1  ri4	la sepa de marto
三月三号	san1 yue4  san1  hao4	la tria de marto
三月三日	san1 yue4  san1  ri4	la tria de marto
三月三十号	san1 yue4  san1 shi2  hao4	la trideka de marto
三月三十日	san1 yue4  san1 shi2  ri4	la trideka de marto
三月三十一号	san1 yue4  san1 shi2 yi1  hao4	la tridek unua de marto
三月三十一日	san1 yue4  san1 shi2 yi1  ri4	la tridek unua de marto
三月十号	san1 yue4  shi2  hao4	la deka de marto
三月十日	san1 yue4  shi2  ri4	la deka de marto
三月十八号	san1 yue4  shi2 ba1  hao4	la dek oka de marto
三月十八日	san1 yue4  shi2 ba1  ri4	la dek oka de marto
三月十二号	san1 yue4  shi2 er4  hao4	la dek dua de marto
三月十二日	san1 yue4  shi2 er4  ri4	la dek dua de marto
三月十九号	san1 yue4  shi2 jiu3  hao4	la dek naŭa de marto
三月十九日	san1 yue4  shi2 jiu3  ri4	la dek naŭa de marto
三月十六号	san1 yue4  shi2 liu4  hao4	la dek sesa de marto
三月十六日	san1 yue4  shi2 liu4  ri4	la dek sesa de marto
三月十七号	san1 yue4  shi2 qi1  hao4	la dek sepa de marto
三月十七日	san1 yue4  shi2 qi1  ri4	la dek sepa de marto
三月十三号	san1 yue4  shi2 san1  hao4	la dek tria de marto
三月十三日	san1 yue4  shi2 san1  ri4	la dek tria de marto
三月十四号	san1 yue4  shi2 si4  hao4	la dek kvara de marto
三月十四日	san1 yue4  shi2 si4  ri4	la dek kvara de marto
三月十五号	san1 yue4  shi2 wu3  hao4	la dek kvina de marto
三月十五日	san1 yue4  shi2 wu3  ri4	la dek kvina de marto
三月十一号	san1 yue4  shi2 yi1  hao4	la dek unua de marto
三月十一日	san1 yue4  shi2 yi1  ri4	la dek unua de marto
三月四号	san1 yue4  si4  hao4	la kvara de marto
三月四日	san1 yue4  si4  ri4	la kvara de marto
三月五号	san1 yue4  wu3  hao4	la kvina de marto
三月五日	san1 yue4  wu3  ri4	la kvina de marto
三月一号	san1 yue4  yi1  hao4	la unua de marto
三月一日	san1 yue4  yi1  ri4	la unua de marto
散步	san4 bu4	promeni
桑	sang1	(pla-sci) morusarbo; (latine, Morus alba)
桑树	sang1 shu4	(pla-sci) morusarbo; (latine, Morus alba)
搔痒	sao1 yang3	tikli
扫帚星	sao3 zhou3 xing1	kometo
扫把	sao4 ba3	balailo
铯	se4	(kem) cezio; la elemento cezio (Cs), atomnumero 55
森林	sen1 lin2	arbaro
僧帽花	seng1 mao4 hua1	(pla-sci) platikodono; platikodonfloro (latine, Platycodon grandiflorus)
鲨	sha1	ŝarko (fiŝo)
刹车	sha1 che1	bremsoj
沙丁鱼	sha1 ding1 yu2	sardelo (fiŝo)
沙发	sha1 fa1	sofo
沙粒	sha1 li4	sablero
沙漠	sha1 mo4	dezerto
杀	sha1 si3	mortigi
杀死	sha1 si3	mortigi
鲨鱼	sha1 yu2	ŝarko (fiŝo)
沙子	sha1 zi5	sablo
杉	shan1	(pla-sci) abio; abiarbo (latine, Abies)
山	shan1	monto
钐	shan1	(kem) samario; la elemento samario (Sm), atomnumero 62
山茶花	shan1 cha2 hua1	(pla-sci) kamelio; kamelifloro (latine, Camellia)
山东	shan1 dong1	Ŝandongo; provinco de Ĉinio
山毛榉	shan1 mao2 ju3	(pla-sci) fago; fagarbo (latine, Fagus)
山毛榉树	shan1 mao2 ju3 shu4	(pla-sci) fago; fagarbo (latine, Fagus)
山丘	shan1 qiu1	monteto
姗姗来迟	shan1 shan1  lai2 chi2	alveni malfrue
杉树	shan1 shu4	(pla-sci) abio; abiarbo (latine, Abies)
山西	shan1 xi1	Ŝanhajo; provinco de Ĉinio
山羊	shan1 yang2	kapro (mambesto)
山查	shan1 zha1	(pla-sci) kratago; kratagarbo (latine, Crataegus)
山楂	shan1 zha1	(pla-sci) kratago; kratagarbo (latine, Crataegus)
山茱萸	shan1 zhu1 yu2	(pla-sci) kornuso; kornusarbo (latine, Cornus)
山茱萸树	shan1 zhu1 yu2 shu4	(pla-sci) kornuso; kornusarbo (latine, Cornus)
陕	shan3	Ŝenŝjio; mallongiga formo de Ŝenŝjio
闪电	shan3 dian4	fulmo
陕西	shan3 xi1	Ŝenŝjio; provinco de Ĉinio
扇	shan4	ventumilo
扇子	shan4 zi5	ventumilo
商	shang1	la Ŝang-dinastio; Dinastio Ŝang
商场	shang1 chang3	butikaro
商朝	shang1 chao2	Ŝang-dinastio; Dinastio Ŝang; ~1600 a.KE-~1100 a.KE
商店	shang1 dian4	vendejo
伤害	shang1 hai4	dolorigi
商量	shang1 liang2	diskuti
商人	shang1 ren2	negocisto
伤心	shang1 xin1	malfeliĉa; malgaja; malĝoja
商业	shang1 ye4	komerco
上	shang4	sur
尚	shang4	eĉ
尚	shang4	ankoraŭ
上帝	shang4 di4	Dio
上海	shang4 hai3	Ŝanhajo; ĉina urbo Ŝanhajo
上面	shang4 mian4	sur; supre
尚且	shang4 qie3	eĉ
上升	shang4 sheng1	leviĝi
尚未	shang4 wei4	ankoraŭ ne
上午	shang4 wu3	mateno
少	shao3	malmulta
猞	she1	linko (mambesto)
猞猁	she1 li4	linko (mambesto)
蛇	she2	serpento (reptilio)
舌	she2	(anat) lango
舌头	she2 tou5	(anat) lango
设备	she4 bei4	ekipaĵo
摄护腺	she4 hu4 xian4	(anat) prostato
社会	she4 hui4	socio
社会契约	she4 hui4  qi4 yue1	socia kontrakto
社区	she4 qu1	komunumo
谁	shei2 ?	kiu?
谁不	shei2 bu4	neniu
谁的	shei2 de5	kies
谁都	shei2 dou1	iu ajn
谁都不	shei2 dou1 bu4	neniu
身	shen1	korpo
深	shen1	profunda
砷	shen1	(kem) arseno; la elemento arseno (As), atomnumero 33
身高	shen1 gao1	alto
身躯	shen1 qu1	homa korpo
身体	shen1 ti3	(anat) korpo
神话	shen2 hua4	mito
神话	shen2 hua4	mitaro; mitologio
神经	shen2 jing1	(anat) nervo
神经系统	shen2 jing1  xi4 tong3	nerva sistemo
什么	shen2 me5	kio?
什么时候	shen2 me5  shi2 hou5	kiam?
什么都	shen2 me5 dou1	io ajn
什么样	shen2 me5 yang5	kia
神秘	shen2 mi4	mistera
神圣	shen2 sheng4	sankta
神圣罗马帝国	Shen2 sheng4  Luo2 ma3  Di4 guo2	Sankta Romia Imperio
沈阳	shen3 yang2	Ŝenjango; ĉefurbo de la ĉina provinco Ljaŭningo
肾	shen4	(anat) reno
肾上腺	shen4 shang4 xian4	(anat) surrenaj glandoj
肾上腺素	shen4 shang4 xian4 su4	(anat) adrenalino
肾脏	shen4 zang4	(anat) reno
牲	sheng1	oferi
生	sheng1	studento
生	sheng1	naski
生	sheng1	naskiĝi
生病	sheng1 bing4	malsaniĝi
生化过程	sheng1 hua4  guo4 cheng2	biokemia procezo
生活	sheng1 huo2	vivi
胜利	sheng1 li4	venko
声明	sheng1 ming2	deklaro
生命	sheng1 ming4	vivo
生气	sheng1 qi4	kolera
生日	sheng1 ri4	naskiĝtago
生日宴会	sheng1 ri4  yan4 hui4	naskiĝfesto
生物	sheng1 wu4	vivaĵo; organismo
生下	sheng1 xia4	naski
生锈	sheng1 xiu4	rusti
生涯	sheng1 ya2	kariero
生意	sheng1 yi4	negoco
声音	sheng1 yin1	sono
生于	sheng1 yu2	naskiĝis
生殖器官	sheng1 zhi2  qi4 guan1	(anat) reprodukta organo
生殖系统	sheng1 zhi2  xi4 tong3	reprodukta sistemo
生殖器	sheng1 zhi2 qi4	(anat) reprodukta organo
绳索	sheng2 suo3	ŝnuro
省	sheng3	provinco
省	sheng3	ŝpari
省份	sheng3 fen4	provinco
省钱	sheng3 qian2	ŝpari monon
失	shi1	perdi
虱	shi1	pediko (insekto)
师	shi1	instruisto
湿	shi1	malseka
狮	shi1	leono (mambesto)
失败	shi1 bai4	malsukcesi
诗歌	shi1 ge1	poemo
诗歌女神缪斯姐妹	shi1 ge1  nv3 shen2  Miu4 si1  jie3 mei4	Muzoj (helena mitologio)
失衡	shi1 heng2	malekvilibro
诗集	shi1 ji2	poemaro
失去	shi1 qu4	perdi
失业	shi1 ye3	senlabora; senlaboreco
失业	shi1 ye4	maldungita
诗意	shi1 yi4	poema; poezia
狮子	shi1 zi5	leono (mambesto)
时	shi2	tempo
识	shi2	koni
十	shi2	dek (10)
时	shi2	kiam; dum
时	shi2	horo
十分钟	shi2  fen1 zhong1	dek minutoj
十八	shi2 ba1	dek ok (18)
十倍	shi2 bei4	dekoble
十次	shi2 ci4	dekfoje
时代	shi2 dai4	epoko
食道	shi2 dao4	(anat) ezofago
十点	shi2 dian3	la deka horo
十点钟	shi2 dian3	la deka horo
十二	shi2 er4	dek du (12)
十二点	shi2 er4 dian3	la dek-dua horo
十二点钟	shi2 er4 dian3	la dek-dua horo
十二月	shi2 er4 yue4	decembro
十二月八号	shi2 er4 yue4 ba1  hao4	la oka de decembro
十二月八日	shi2 er4 yue4 ba1  ri4	la oka de decembro
十二月二号	shi2 er4 yue4 er4 hao4	la dua de decembro
十二月二日	shi2 er4 yue4 er4 ri4	la dua de decembro
十二月二十号	shi2 er4 yue4 er4 shi2  hao4	la dudeka de decembro
十二月二十日	shi2 er4 yue4 er4 shi2  ri4	la dudeka de decembro
十二月二十八号	shi2 er4 yue4 er4 shi2 ba1  hao4	la dudek oka de decembro
十二月二十八日	shi2 er4 yue4 er4 shi2 ba1  ri4	la dudek oka de decembro
十二月二十二号	shi2 er4 yue4 er4 shi2 er4  hao4	la dudek dua de decembro
十二月二十二日	shi2 er4 yue4 er4 shi2 er4  ri4	la dudek dua de decembro
十二月二十九号	shi2 er4 yue4 er4 shi2 jiu3  hao4	la dudek naŭa de decembro
十二月二十九日	shi2 er4 yue4 er4 shi2 jiu3  ri4	la dudek naŭa de decembro
十二月二十六号	shi2 er4 yue4 er4 shi2 liu4  hao4	la dudek sesa de decembro
十二月二十六日	shi2 er4 yue4 er4 shi2 liu4  ri4	la dudek sesa de decembro
十二月二十七号	shi2 er4 yue4 er4 shi2 qi1  hao4	la dudek sepa de decembro
十二月二十七日	shi2 er4 yue4 er4 shi2 qi1  ri4	la dudek sepa de decembro
十二月二十三号	shi2 er4 yue4 er4 shi2 san1  hao4	la dudek tria de decembro
十二月二十三日	shi2 er4 yue4 er4 shi2 san1  ri4	la dudek tria de decembro
十二月二十四号	shi2 er4 yue4 er4 shi2 si4  hao4	la dudek kvara de decembro
十二月二十四日	shi2 er4 yue4 er4 shi2 si4  ri4	la dudek kvara de decembro
十二月二十五号	shi2 er4 yue4 er4 shi2 wu3  hao4	la dudek kvina de decembro
十二月二十五日	shi2 er4 yue4 er4 shi2 wu3  ri4	la dudek kvina de decembro
十二月二十一号	shi2 er4 yue4 er4 shi2 yi1  hao4	la dudek unua de decembro
十二月二十一日	shi2 er4 yue4 er4 shi2 yi1  ri4	la dudek unua de decembro
十二月九号	shi2 er4 yue4 jiu3  hao4	la naŭa de decembro
十二月九日	shi2 er4 yue4 jiu3  ri4	la naŭa de decembro
十二月六号	shi2 er4 yue4 liu4  hao4	la sesa de decembro
十二月六日	shi2 er4 yue4 liu4  ri4	la sesa de decembro
十二月七号	shi2 er4 yue4 qi1  hao4	la sepa de decembro
十二月七日	shi2 er4 yue4 qi1  ri4	la sepa de decembro
十二月三号	shi2 er4 yue4 san1  hao4	la tria de decembro
十二月三日	shi2 er4 yue4 san1  ri4	la tria de decembro
十二月三十号	shi2 er4 yue4 san1 shi2  hao4	la trideka de decembro
十二月三十日	shi2 er4 yue4 san1 shi2  ri4	la trideka de decembro
十二月三十一号	shi2 er4 yue4 san1 shi2 yi1  hao4	la tridek unua de decembro
十二月三十一日	shi2 er4 yue4 san1 shi2 yi1  ri4	la tridek unua de decembro
十二月十号	shi2 er4 yue4 shi2  hao4	la deka de decembro
十二月十日	shi2 er4 yue4 shi2  ri4	la deka de decembro
十二月十八号	shi2 er4 yue4 shi2 ba1  hao4	la dek oka de decembro
十二月十八日	shi2 er4 yue4 shi2 ba1  ri4	la dek oka de decembro
十二月十二号	shi2 er4 yue4 shi2 er4  hao4	la dek dua de decembro
十二月十二日	shi2 er4 yue4 shi2 er4  ri4	la dek dua de decembro
十二月十九号	shi2 er4 yue4 shi2 jiu3  hao4	la dek naŭa de decembro
十二月十九日	shi2 er4 yue4 shi2 jiu3  ri4	la dek naŭa de decembro
十二月十六号	shi2 er4 yue4 shi2 liu4  hao4	la dek sesa de decembro
十二月十六日	shi2 er4 yue4 shi2 liu4  ri4	la dek sesa de decembro
十二月十七号	shi2 er4 yue4 shi2 qi1  hao4	la dek sepa de decembro
十二月十七日	shi2 er4 yue4 shi2 qi1  ri4	la dek sepa de decembro
十二月十三号	shi2 er4 yue4 shi2 san1  hao4	la dek tria de decembro
十二月十三日	shi2 er4 yue4 shi2 san1  ri4	la dek tria de decembro
十二月十四号	shi2 er4 yue4 shi2 si4  hao4	la dek kvara de decembro
十二月十四日	shi2 er4 yue4 shi2 si4  ri4	la dek kvara de decembro
十二月十五号	shi2 er4 yue4 shi2 wu3  hao4	la dek kvina de decembro
十二月十五日	shi2 er4 yue4 shi2 wu3  ri4	la dek kvina de decembro
十二月十一号	shi2 er4 yue4 shi2 yi1  hao4	la dek unua de decembro
十二月十一日	shi2 er4 yue4 shi2 yi1  ri4	la dek unua de decembro
十二月四号	shi2 er4 yue4 si4  hao4	la kvara de decembro
十二月四日	shi2 er4 yue4 si4  ri4	la kvara de decembro
十二月五号	shi2 er4 yue4 wu3  hao4	la kvina de decembro
十二月五日	shi2 er4 yue4 wu3  ri4	la kvina de decembro
十二月一号	shi2 er4 yue4 yi1  hao4	la unua de decembro
十二月一日	shi2 er4 yue4 yi1  ri4	la unua de decembro
十二指肠	shi2 er4 zhi3 chang2	(anat) duodeno
十分之一	shi2 fen1 zhi1 yi1	dekono
石膏	shi2 gao1	gipso
时光	shi2 guang1	tempo
时光机	shi2 guang1 ji1	tempomaŝino
实际	shi2 ji4	praktika
石家庄	shi2 jia1 zhuang1	Shijiazhuang; ĉefurbo de la ĉina provinco Hebejo
时间	shi2 jian1	tempo
时间表	shi2 jian1 biao3	horaro
石匠	shi2 jiang1	ŝtonhakisto; masonisto
十九	shi2 jiu3	dek naŭ (19)
时刻	shi2 ke4	momento
时空	shi2 kong1	(fiz) spacotempo
石榴树	shi2 liu2 shu4	(pla-sci) granatarbo; (latine, Punica granatum)
十六	shi2 liu4	dek ses (16)
十六国	shi2 liu4 guo2	Deksesa-Reĝlandoj; Periodo de la Deksesa-Reĝlandoj; 304-439 KE
石南花	shi2 nan2 hua1	(pla-sci) eriko; erikfloro (latine, Calluna vulgaris)
十七	shi2 qi1	dek sep (17)
十三	shi2 san1	dek tri (13)
十四	shi2 si4	dek kvar (14)
时态	shi2 tai4	tenso (gramatiko)
食堂	shi2 tang2	kafeterio
石头	shi2 tou5	ŝtono
十万	shi2 wan4	cent mil (100 000)
十五	shi2 wu3	dek kvin (15)
十五分钟	shi2 wu3  fen1 zhong1	dek kvin minutoj
食物	shi2 wu4	manĝaĵo
实验室	shi2 yan4 shi4	laboratorio
十一	shi2 yi1	dek unu (11)
十一点钟	shi2 yi1 dian3	la dek-unua horo
十一点	shi2 yi1 dian3	la dek-unua horo
十一月	shi2 yi1 yue4	novembro
十一月八号	shi2 yi1 yue4  ba1  hao4	la oka de novembro
十一月八日	shi2 yi1 yue4  ba1  ri4	la oka de novembro
十一月二号	shi2 yi1 yue4  er4  hao4	la dua de novembro
十一月二日	shi2 yi1 yue4  er4  ri4	la dua de novembro
十一月二十号	shi2 yi1 yue4  er4 shi2  hao4	la dudeka de novembro
十一月二十日	shi2 yi1 yue4  er4 shi2  ri4	la dudeka de novembro
